example_id                                                       | status  | run_time        |
./spec/models/parts_psu_spec.rb[1:1:6]                           | passed  | 0.00305 seconds |
./spec/models/parts_psu_spec.rb[1:1:7]                           | passed  | 0.002 seconds   |
./spec/models/parts_psu_spec.rb[1:1:8]                           | passed  | 0.00098 seconds |
./spec/models/parts_psu_spec.rb[1:2:1]                           | passed  | 0.0006 seconds  |
./spec/models/parts_psu_spec.rb[1:2:2]                           | passed  | 0.0004 seconds  |
./spec/models/parts_storage_spec.rb[1:1:1]                       | passed  | 0.00137 seconds |
./spec/models/parts_storage_spec.rb[1:1:2]                       | passed  | 0.00124 seconds |
./spec/models/parts_storage_spec.rb[1:1:3]                       | passed  | 0.00129 seconds |
./spec/models/parts_storage_spec.rb[1:1:4]                       | passed  | 0.00233 seconds |
./spec/models/pc_custom_set_spec.rb[1:1:1]                       | passed  | 0.00576 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:1]                       | passed  | 0.00041 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:2]                       | passed  | 0.00049 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:3]                       | passed  | 0.0004 seconds  |
./spec/models/pc_custom_set_spec.rb[1:2:4]                       | passed  | 0.00042 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:5]                       | passed  | 0.00031 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:6]                       | passed  | 0.00036 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:7]                       | passed  | 0.00037 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:8]                       | passed  | 0.0006 seconds  |
./spec/models/pc_custom_set_spec.rb[1:2:9]                       | passed  | 0.00043 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:10]                      | passed  | 0.00041 seconds |
./spec/models/pc_custom_set_spec.rb[1:2:11]                      | passed  | 0.00044 seconds |
./spec/models/pc_custom_set_spec.rb[1:3:1]                       | passed  | 0.00744 seconds |
./spec/models/pc_custom_set_spec.rb[1:4:1]                       | passed  | 0.01147 seconds |
./spec/models/pc_entrust_set_spec.rb[1:1:1]                      | passed  | 0.00118 seconds |
./spec/models/pc_entrust_set_spec.rb[1:1:2]                      | passed  | 0.00146 seconds |
./spec/models/pc_entrust_set_spec.rb[1:1:3]                      | passed  | 0.00161 seconds |
./spec/models/pc_entrust_set_spec.rb[1:1:4]                      | passed  | 0.00112 seconds |
./spec/models/pc_entrust_set_spec.rb[1:1:5]                      | passed  | 0.00089 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:1]                      | passed  | 0.00035 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:2]                      | passed  | 0.00062 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:3]                      | passed  | 0.00038 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:4]                      | passed  | 0.00063 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:5]                      | passed  | 0.00038 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:6]                      | passed  | 0.0004 seconds  |
./spec/models/pc_entrust_set_spec.rb[1:2:7]                      | passed  | 0.00036 seconds |
